STOREID,average daily demand,Distribution center
4166715,95,DC1
4166869,166,DC1
4167513,189,DC1
4167514,109,DC1
4168448,201,DC1
4168638,131,DC1
4168686,205,DC1
4168791,110,DC1
4168796,151,DC1
4168799,231,DC1
4168801,160,DC1
4168802,284,DC1
4168803,207,DC1
4168805,224,DC1
4168806,240,DC1
4168807,185,DC1
4168808,142,DC1
4168809,127,DC1
4168811,184,DC1
4168812,173,DC1
4168813,157,DC1
4168815,187,DC1
4168819,183,DC1
4168820,128,DC1
4168821,168,DC1
4168822,153,DC1
4168823,153,DC1
4168824,208,DC1
4168826,169,DC1
4168828,218,DC1
4168831,176,DC1
4168833,180,DC1
4168834,156,DC1
4168835,212,DC1
4168836,211,DC1
4168843,210,DC1
4168844,208,DC1
4168850,221,DC1
4168856,182,DC1
4168859,109,DC1
4168861,109,DC1
4168862,134,DC1
4168863,167,DC1
4168865,182,DC1
4168866,182,DC1
4168867,167,DC1
4168869,190,DC1
4168870,262,DC1
4168871,141,DC1
4168872,178,DC1
4168873,225,DC1
4168874,188,DC1
4168875,211,DC1
4168876,229,DC1
4168877,230,DC1
4168878,160,DC1
4168879,197,DC1
4168880,240,DC1
4168881,149,DC1
4168884,171,DC1
4168885,171,DC1
4168886,197,DC1
4168887,169,DC1
4168888,219,DC1
4168891,249,DC1
4168935,133,DC1
4168965,165,DC1
4169472,137,DC1
4169488,133,DC1
4169497,308,DC1
4169505,109,DC1
4169507,112,DC1
4169517,163,DC1
4169520,164,DC1
4169527,198,DC1
4169532,105,DC1
4169536,169,DC1
4169550,127,DC1
4169560,221,DC1
4169563,259,DC1
4169568,155,DC1
4169570,181,DC1
4169576,116,DC1
4169582,209,DC1
4169592,107,DC1
4169593,164,DC1
4169613,132,DC1
4169708,212,DC1
4169709,167,DC1
4169713,199,DC1
4169714,215,DC1
4169715,192,DC1
4169717,260,DC1
4169718,140,DC1
4169719,183,DC1
4169720,135,DC1
4169721,175,DC1
4169729,155,DC1
4169730,168,DC1
4169732,206,DC1
4169733,125,DC1
4169734,223,DC1
4169736,223,DC1
4169737,170,DC1
4169738,179,DC1
4169739,182,DC1
4169740,176,DC1
4169742,152,DC1
4169744,224,DC1
4169745,142,DC1
4169746,181,DC1
4169747,210,DC1
4169751,147,DC1
4169752,189,DC1
4169753,162,DC1
4169754,146,DC1
4169757,131,DC1
4169758,352,DC1
4169761,177,DC1
4169767,235,DC1
4169773,288,DC1
4169777,164,DC1
4169778,219,DC1
4169780,185,DC1
4169782,139,DC1
4169783,224,DC1
4169784,241,DC1
4169786,139,DC1
4169788,150,DC1
4169791,181,DC1
4169793,159,DC1
4169794,199,DC1
4169795,148,DC1
4169796,216,DC1
4169800,303,DC1
4169802,130,DC1
4169803,144,DC1
4169804,151,DC1
4169807,151,DC1
4169809,127,DC1
4169811,133,DC1
4169812,176,DC1
4169813,151,DC1
4169814,166,DC1
4169820,228,DC1
4169821,137,DC1
4169825,147,DC1
4169826,175,DC1
4169827,176,DC1
4169828,149,DC1
4169829,184,DC1
4169831,218,DC1
4169835,173,DC1
4169839,310,DC1
4169844,417,DC1
4169849,259,DC1
4169855,348,DC1
4169859,136,DC1
4169862,153,DC1
4169864,147,DC1
4169870,212,DC1
4169872,179,DC1
4169873,180,DC1
4169874,173,DC1
4169875,156,DC1
4169877,103,DC1
4169878,123,DC1
4169879,147,DC1
4169880,124,DC1
4169881,110,DC1
4169883,276,DC1
4169886,244,DC1
4169888,303,DC1
4169889,252,DC1
4169896,157,DC1
4169897,156,DC1
4169899,200,DC1
4169900,122,DC1
4169901,190,DC1
4169910,167,DC1
4169911,180,DC1
4169912,138,DC1
4169918,117,DC1
4169920,143,DC1
4169921,168,DC1
4169922,140,DC1
4169923,209,DC1
4169926,141,DC1
4169933,161,DC1
4169934,130,DC1
4169935,127,DC1
4169936,217,DC1
4169938,194,DC1
4169943,202,DC1
4169945,152,DC1
4169946,265,DC1
4169948,102,DC1
4169949,130,DC1
4169950,125,DC1
4169952,162,DC1
4169953,180,DC1
4169954,191,DC1
4169968,130,DC1
4169972,236,DC1
4169977,167,DC1
4169978,139,DC1
4169979,149,DC1
4169986,255,DC1
4169989,212,DC1
4169991,115,DC1
4169992,127,DC1
4169993,110,DC1
4170003,135,DC1
4170004,112,DC1
4170005,140,DC1
4170006,182,DC1
4170007,113,DC1
4170009,140,DC1
4170010,146,DC1
4170014,291,DC1
4170033,108,DC1
4170035,140,DC1
4170044,214,DC1
4170061,167,DC1
4170062,124,DC1
4170064,126,DC1
4170067,105,DC1
4170069,110,DC1
4170071,192,DC1
4170075,150,DC1
4170078,114,DC1
4170082,216,DC1
4170085,190,DC1
4170087,152,DC1
4170088,157,DC1
4170089,159,DC1
4170094,249,DC1
4170098,146,DC1
4170103,101,DC1
4170215,142,DC1
4170218,231,DC1
4170219,98,DC1
4170221,132,DC1
4170222,243,DC1
4170223,256,DC1
4170231,189,DC1
4170232,101,DC1
4170233,116,DC1
4170236,139,DC1
4170238,167,DC1
4170241,140,DC1
4170242,133,DC1
4170245,108,DC1
4170246,131,DC1
4170247,135,DC1
4170249,133,DC1
4170250,128,DC1
4170252,116,DC1
4170254,156,DC1
4170259,121,DC1
4170261,134,DC1
4170262,163,DC1
4170265,157,DC1
4170269,265,DC1
4170281,197,DC1
4170282,102,DC1
4170285,113,DC1
4170289,210,DC1
4170292,127,DC1
4170293,100,DC1
4170295,216,DC1
4170297,125,DC1
4170300,177,DC1
4170301,142,DC1
4170303,150,DC1
4170305,139,DC1
4170306,155,DC1
4170307,152,DC1
4170309,204,DC1
4170315,186,DC1
4170317,126,DC1
4170318,140,DC1
4170319,126,DC1
4170320,229,DC1
4170322,146,DC1
4170324,175,DC1
4170327,186,DC1
4170328,194,DC1
4170331,277,DC1
4170336,142,DC1
4170337,168,DC1
4170342,127,DC1
4170343,221,DC1
4170344,179,DC1
4170347,175,DC1
4170349,93,DC1
4170353,145,DC1
4170354,145,DC1
4170357,149,DC1
4170360,130,DC1
4170361,156,DC1
4170362,120,DC1
4170365,197,DC1
4170366,175,DC1
4170369,145,DC1
4170371,188,DC1
4170375,148,DC1
4170378,108,DC1
4170381,180,DC1
4170382,163,DC1
4170384,226,DC1
4170388,138,DC1
4170389,93,DC1
4170390,142,DC1
4171019,263,DC1
4171022,313,DC1
4171266,161,DC1
4171286,142,DC1
4171363,155,DC1
4171380,133,DC1
4171381,143,DC1
4171382,153,DC1
4171383,127,DC1
4171385,135,DC1
4171386,134,DC1
4171388,141,DC1
4171474,156,DC1
4171499,206,DC1
4171592,155,DC1
4171593,156,DC1
4171596,157,DC1
4171611,138,DC1
4171618,108,DC1
4166646,236,DC10
4166667,147,DC10
4166668,148,DC10
4166676,126,DC10
4166679,172,DC10
4166686,106,DC10
4166696,132,DC10
4166698,205,DC10
4166700,132,DC10
4166723,171,DC10
4166732,113,DC10
4166735,175,DC10
4166753,91,DC10
4166757,144,DC10
4166764,126,DC10
4166771,106,DC10
4166776,224,DC10
4166777,133,DC10
4166779,139,DC10
4166791,171,DC10
4167047,189,DC10
4167632,132,DC10
4167634,207,DC10
4167636,155,DC10
4167640,136,DC10
4167643,159,DC10
4167695,194,DC10
4167731,147,DC10
4167791,157,DC10
4167802,138,DC10
4167850,170,DC10
4168476,186,DC10
4168478,153,DC10
4168479,222,DC10
4168483,142,DC10
4168486,194,DC10
4168488,134,DC10
4168489,165,DC10
4168493,138,DC10
4168494,132,DC10
4168496,140,DC10
4168499,165,DC10
4168500,198,DC10
4168503,209,DC10
4168504,125,DC10
4168506,124,DC10
4168509,152,DC10
4168511,160,DC10
4168513,146,DC10
4168515,210,DC10
4168519,164,DC10
4168520,110,DC10
4168521,265,DC10
4168525,191,DC10
4168527,146,DC10
4168528,198,DC10
4168530,252,DC10
4168533,183,DC10
4168536,153,DC10
4168537,113,DC10
4168541,109,DC10
4168543,127,DC10
4168544,166,DC10
4168546,139,DC10
4168549,135,DC10
4168551,170,DC10
4168552,95,DC10
4168553,208,DC10
4168557,175,DC10
4168560,133,DC10
4168561,156,DC10
4168563,186,DC10
4168565,150,DC10
4168568,166,DC10
4168570,110,DC10
4168571,182,DC10
4168573,179,DC10
4169132,120,DC10
4169134,191,DC10
4169140,166,DC10
4169141,126,DC10
4169144,174,DC10
4169147,188,DC10
4169148,121,DC10
4169154,189,DC10
4169155,132,DC10
4169157,154,DC10
4169159,170,DC10
4169161,153,DC10
4169164,167,DC10
4169168,227,DC10
4169170,122,DC10
4169172,158,DC10
4169174,145,DC10
4169176,163,DC10
4169178,197,DC10
4169180,128,DC10
4169185,142,DC10
4169187,144,DC10
4169190,175,DC10
4169195,137,DC10
4169197,133,DC10
4169705,217,DC10
4170660,220,DC10
4170671,164,DC10
4170672,132,DC10
4170676,108,DC10
4170679,151,DC10
4170680,206,DC10
4170684,179,DC10
4170686,160,DC10
4170687,160,DC10
4170689,170,DC10
4170691,165,DC10
4170695,127,DC10
4170698,208,DC10
4170699,239,DC10
4170701,134,DC10
4170703,160,DC10
4170706,142,DC10
4170709,163,DC10
4170712,203,DC10
4170714,169,DC10
4170715,132,DC10
4170718,193,DC10
4170721,140,DC10
4170725,145,DC10
4170728,129,DC10
4170732,92,DC10
4170736,180,DC10
4170738,190,DC10
4170742,249,DC10
4170745,182,DC10
4170749,186,DC10
4170750,266,DC10
4170756,264,DC10
4170759,100,DC10
4170765,236,DC10
4170768,170,DC10
4170770,242,DC10
4170772,199,DC10
4170775,172,DC10
4170778,199,DC10
4170781,196,DC10
4170783,133,DC10
4170784,113,DC10
4170785,169,DC10
4170788,140,DC10
4170791,159,DC10
4170793,137,DC10
4170795,136,DC10
4170798,304,DC10
4170801,195,DC10
4170804,161,DC10
4170807,115,DC10
4170808,159,DC10
4170812,124,DC10
4170814,134,DC10
4170815,148,DC10
4170816,175,DC10
4170817,123,DC10
4170820,156,DC10
4170826,276,DC10
4170828,317,DC10
4170832,181,DC10
4170836,148,DC10
4170845,160,DC10
4170847,141,DC10
4170848,194,DC10
4170850,116,DC10
4170852,284,DC10
4170855,199,DC10
4170860,144,DC10
4170864,143,DC10
4170867,221,DC10
4170869,146,DC10
4170871,117,DC10
4170873,117,DC10
4170874,163,DC10
4170877,146,DC10
4170878,383,DC10
4170881,179,DC10
4170883,168,DC10
4170885,232,DC10
4170886,257,DC10
4170890,141,DC10
4170892,253,DC10
4170895,197,DC10
4170897,189,DC10
4170899,153,DC10
4170901,171,DC10
4170903,170,DC10
4170905,169,DC10
4170907,171,DC10
4170909,201,DC10
4170910,316,DC10
4170914,179,DC10
4170915,217,DC10
4170918,201,DC10
4170919,233,DC10
4170922,233,DC10
4170924,265,DC10
4170926,184,DC10
4170928,308,DC10
4170929,387,DC10
4170933,234,DC10
4170935,205,DC10
4170936,102,DC10
4170938,101,DC10
4170940,165,DC10
4170942,256,DC10
4170945,196,DC10
4170947,120,DC10
4170949,162,DC10
4170954,161,DC10
4170956,210,DC10
4170957,369,DC10
4170963,146,DC10
4170965,274,DC10
4170968,156,DC10
4170970,232,DC10
4170972,114,DC10
4170974,95,DC10
4170975,199,DC10
4170978,155,DC10
4170979,163,DC10
4170981,269,DC10
4170987,151,DC10
4170988,178,DC10
4170989,130,DC10
4171003,131,DC10
4171004,183,DC10
4171007,184,DC10
4171008,241,DC10
4171010,337,DC10
4171013,296,DC10
4171016,206,DC10
4171018,183,DC10
4171024,138,DC10
4171026,157,DC10
4171028,169,DC10
4171033,206,DC10
4171035,136,DC10
4171037,199,DC10
4171039,119,DC10
4171041,286,DC10
4171044,165,DC10
4171047,110,DC10
4171048,155,DC10
4171049,250,DC10
4171054,162,DC10
4171059,174,DC10
4171063,194,DC10
4171066,195,DC10
4171068,177,DC10
4171069,124,DC10
4171072,242,DC10
4171074,167,DC10
4171076,115,DC10
4171077,173,DC10
4171079,179,DC10
4171082,176,DC10
4171084,139,DC10
4171086,162,DC10
4171087,271,DC10
4171090,137,DC10
4171092,245,DC10
4171093,122,DC10
4171095,156,DC10
4171097,137,DC10
4171099,194,DC10
4171101,158,DC10
4171108,233,DC10
4171111,282,DC10
4171113,178,DC10
4171121,164,DC10
4171131,124,DC10
4171132,191,DC10
4171133,193,DC10
4171138,231,DC10
4171141,133,DC10
4166666,225,DC11
4166673,163,DC11
4166675,133,DC11
4166678,101,DC11
4166690,113,DC11
4166697,120,DC11
4166699,168,DC11
4166719,127,DC11
4166725,173,DC11
4166750,120,DC11
4166754,139,DC11
4166758,145,DC11
4166762,142,DC11
4166768,141,DC11
4166770,131,DC11
4166772,107,DC11
4166775,136,DC11
4166778,133,DC11
4166785,187,DC11
4166788,195,DC11
4166789,131,DC11
4166794,138,DC11
4167631,191,DC11
4167633,133,DC11
4167635,202,DC11
4167641,107,DC11
4167642,107,DC11
4167645,148,DC11
4167691,182,DC11
4167697,162,DC11
4167801,138,DC11
4167831,149,DC11
4167885,137,DC11
4168477,190,DC11
4168480,175,DC11
4168482,142,DC11
4168484,157,DC11
4168485,113,DC11
4168487,150,DC11
4168490,130,DC11
4168491,187,DC11
4168492,171,DC11
4168495,198,DC11
4168497,102,DC11
4168498,139,DC11
4168501,192,DC11
4168502,163,DC11
4168505,124,DC11
4168507,111,DC11
4168508,152,DC11
4168510,176,DC11
4168512,146,DC11
4168514,151,DC11
4168516,149,DC11
4168517,215,DC11
4168518,137,DC11
4168522,163,DC11
4168523,153,DC11
4168524,159,DC11
4168526,190,DC11
4168529,195,DC11
4168531,170,DC11
4168532,170,DC11
4168534,147,DC11
4168535,114,DC11
4168538,127,DC11
4168539,207,DC11
4168540,133,DC11
4168542,121,DC11
4168545,151,DC11
4168547,117,DC11
4168548,135,DC11
4168550,140,DC11
4168554,185,DC11
4168555,150,DC11
4168556,135,DC11
4168558,181,DC11
4168559,210,DC11
4168562,157,DC11
4168564,146,DC11
4168566,154,DC11
4168567,104,DC11
4168569,208,DC11
4168572,126,DC11
4168623,177,DC11
4169133,140,DC11
4169136,226,DC11
4169139,132,DC11
4169142,129,DC11
4169146,153,DC11
4169149,207,DC11
4169151,145,DC11
4169152,144,DC11
4169156,152,DC11
4169158,199,DC11
4169160,141,DC11
4169162,115,DC11
4169163,147,DC11
4169167,162,DC11
4169169,205,DC11
4169171,121,DC11
4169173,158,DC11
4169175,167,DC11
4169177,140,DC11
4169179,149,DC11
4169181,190,DC11
4169182,112,DC11
4169184,131,DC11
4169186,168,DC11
4169188,151,DC11
4169189,170,DC11
4169191,162,DC11
4169192,194,DC11
4169194,143,DC11
4170140,157,DC11
4170662,140,DC11
4170669,235,DC11
4170674,131,DC11
4170675,172,DC11
4170678,162,DC11
4170681,160,DC11
4170682,122,DC11
4170683,201,DC11
4170685,164,DC11
4170688,205,DC11
4170690,219,DC11
4170694,127,DC11
4170696,127,DC11
4170697,172,DC11
4170700,134,DC11
4170702,164,DC11
4170704,136,DC11
4170705,136,DC11
4170708,113,DC11
4170711,201,DC11
4170713,243,DC11
4170716,307,DC11
4170717,161,DC11
4170719,140,DC11
4170722,162,DC11
4170726,153,DC11
4170727,130,DC11
4170731,184,DC11
4170733,211,DC11
4170737,218,DC11
4170740,202,DC11
4170744,181,DC11
4170747,204,DC11
4170751,165,DC11
4170754,169,DC11
4170755,170,DC11
4170760,213,DC11
4170761,164,DC11
4170767,165,DC11
4170769,170,DC11
4170771,178,DC11
4170773,173,DC11
4170774,148,DC11
4170776,165,DC11
4170780,229,DC11
4170782,200,DC11
4170786,141,DC11
4170790,160,DC11
4170792,230,DC11
4170794,136,DC11
4170800,221,DC11
4170802,196,DC11
4170803,165,DC11
4170806,139,DC11
4170811,274,DC11
4170813,155,DC11
4170818,262,DC11
4170821,177,DC11
4170827,262,DC11
4170831,142,DC11
4170833,182,DC11
4170834,139,DC11
4170835,125,DC11
4170844,138,DC11
4170846,182,DC11
4170849,143,DC11
4170851,136,DC11
4170854,223,DC11
4170856,198,DC11
4170861,178,DC11
4170862,117,DC11
4170865,143,DC11
4170868,146,DC11
4170872,184,DC11
4170876,194,DC11
4170879,311,DC11
4170880,179,DC11
4170882,140,DC11
4170884,177,DC11
4170888,157,DC11
4170889,186,DC11
4170891,140,DC11
4170893,225,DC11
4170894,101,DC11
4170896,167,DC11
4170898,212,DC11
4170900,172,DC11
4170902,173,DC11
4170904,150,DC11
4170906,195,DC11
4170908,136,DC11
4170911,173,DC11
4170912,204,DC11
4170913,183,DC11
4170916,217,DC11
4170917,165,DC11
4170920,199,DC11
4170921,187,DC11
4170923,168,DC11
4170925,194,DC11
4170927,232,DC11
4170930,244,DC11
4170931,163,DC11
4170932,164,DC11
4170934,296,DC11
4170937,102,DC11
4170939,168,DC11
4170941,134,DC11
4170943,183,DC11
4170944,124,DC11
4170948,126,DC11
4170950,137,DC11
4170952,139,DC11
4170953,146,DC11
4170955,161,DC11
4170958,156,DC11
4170959,166,DC11
4170962,183,DC11
4170964,146,DC11
4170966,163,DC11
4170967,169,DC11
4170969,96,DC11
4170971,234,DC11
4170973,154,DC11
4170976,171,DC11
4170977,158,DC11
4170980,163,DC11
4170982,96,DC11
4170983,110,DC11
4170984,190,DC11
4170986,154,DC11
4170990,130,DC11
4170991,170,DC11
4171002,150,DC11
4171005,149,DC11
4171009,320,DC11
4171011,156,DC11
4171012,150,DC11
4171014,136,DC11
4171015,136,DC11
4171017,143,DC11
4171020,193,DC11
4171021,137,DC11
4171023,138,DC11
4171025,138,DC11
4171029,175,DC11
4171032,203,DC11
4171036,182,DC11
4171038,124,DC11
4171040,244,DC11
4171042,136,DC11
4171043,150,DC11
4171045,113,DC11
4171046,175,DC11
4171050,235,DC11
4171053,161,DC11
4171055,168,DC11
4171062,148,DC11
4171064,140,DC11
4171067,134,DC11
4171070,202,DC11
4171071,120,DC11
4171073,160,DC11
4171075,159,DC11
4171078,202,DC11
4171080,128,DC11
4171081,175,DC11
4171083,141,DC11
4171085,161,DC11
4171088,171,DC11
4171089,218,DC11
4171091,214,DC11
4171094,142,DC11
4171096,167,DC11
4171098,136,DC11
4171100,158,DC11
4171102,125,DC11
4171103,183,DC11
4171109,149,DC11
4171112,179,DC11
4171116,172,DC11
4171117,172,DC11
4171124,200,DC11
4171127,87,DC11
4171134,155,DC11
4171139,99,DC11
4171140,113,DC11
4171143,229,DC11
4171576,122,DC11
4171587,165,DC11
4166716,163,DC12
4166759,242,DC12
4166760,198,DC12
4166761,206,DC12
4166765,176,DC12
4166766,154,DC12
4166767,107,DC12
4166769,92,DC12
4166780,129,DC12
4166781,129,DC12
4166782,153,DC12
4166783,153,DC12
4166784,111,DC12
4166786,103,DC12
4166787,230,DC12
4166792,123,DC12
4166793,165,DC12
4167373,124,DC12
4167374,152,DC12
4167375,164,DC12
4167376,148,DC12
4167377,141,DC12
4167378,109,DC12
4167379,115,DC12
4167381,182,DC12
4167382,123,DC12
4167383,180,DC12
4167384,117,DC12
4167385,257,DC12
4167386,105,DC12
4167387,148,DC12
4167388,156,DC12
4167389,214,DC12
4167390,149,DC12
4167391,148,DC12
4167392,129,DC12
4167393,212,DC12
4167394,144,DC12
4167395,180,DC12
4167396,159,DC12
4167397,159,DC12
4167398,209,DC12
4167399,220,DC12
4167400,167,DC12
4167401,144,DC12
4167402,184,DC12
4167403,128,DC12
4167404,121,DC12
4167405,244,DC12
4167406,254,DC12
4167407,164,DC12
4167409,214,DC12
4167410,136,DC12
4167411,243,DC12
4167412,134,DC12
4167413,180,DC12
4167414,137,DC12
4167415,125,DC12
4167416,202,DC12
4167417,188,DC12
4167418,116,DC12
4167419,233,DC12
4167420,186,DC12
4167421,155,DC12
4167422,161,DC12
4167423,117,DC12
4167424,154,DC12
4167426,160,DC12
4167427,200,DC12
4167428,121,DC12
4167429,281,DC12
4167430,195,DC12
4167431,142,DC12
4167432,187,DC12
4167433,165,DC12
4167434,231,DC12
4167435,165,DC12
4167436,122,DC12
4167437,130,DC12
4167438,159,DC12
4167439,131,DC12
4167440,127,DC12
4167442,221,DC12
4167443,138,DC12
4167444,151,DC12
4167445,147,DC12
4167446,147,DC12
4167448,201,DC12
4167449,148,DC12
4167450,195,DC12
4167451,232,DC12
4167452,174,DC12
4167453,207,DC12
4167454,145,DC12
4167455,169,DC12
4167456,179,DC12
4167457,171,DC12
4167458,135,DC12
4167459,183,DC12
4167460,111,DC12
4167462,194,DC12
4167463,180,DC12
4167464,175,DC12
4167465,122,DC12
4167466,236,DC12
4167467,162,DC12
4167468,161,DC12
4167469,306,DC12
4167470,282,DC12
4167471,120,DC12
4167472,143,DC12
4167473,143,DC12
4167474,134,DC12
4167475,235,DC12
4167782,101,DC12
4168071,187,DC12
4168074,187,DC12
4168075,107,DC12
4168076,107,DC12
4168077,142,DC12
4168078,171,DC12
4168079,181,DC12
4168080,151,DC12
4168081,183,DC12
4168084,185,DC12
4168085,127,DC12
4168087,179,DC12
4168090,105,DC12
4168091,183,DC12
4168092,137,DC12
4168093,200,DC12
4168094,201,DC12
4168096,199,DC12
4168100,225,DC12
4168103,154,DC12
4168104,183,DC12
4168105,108,DC12
4168149,214,DC12
4168346,181,DC12
4168367,156,DC12
4168373,187,DC12
4168374,139,DC12
4168375,138,DC12
4168376,161,DC12
4168377,181,DC12
4168378,133,DC12
4168379,93,DC12
4168380,148,DC12
4168381,186,DC12
4168382,118,DC12
4168384,124,DC12
4168385,248,DC12
4168386,128,DC12
4168387,165,DC12
4168388,154,DC12
4168389,259,DC12
4168390,129,DC12
4168391,148,DC12
4168392,234,DC12
4168393,200,DC12
4168394,185,DC12
4168395,171,DC12
4168396,161,DC12
4168397,151,DC12
4168398,131,DC12
4168399,170,DC12
4168400,129,DC12
4168727,234,DC12
4168953,136,DC12
4169011,164,DC12
4169015,177,DC12
4169021,117,DC12
4169039,130,DC12
4169040,230,DC12
4169041,218,DC12
4169042,205,DC12
4169044,267,DC12
4169046,194,DC12
4169055,141,DC12
4169061,176,DC12
4169063,108,DC12
4169068,179,DC12
4169069,130,DC12
4169072,143,DC12
4169074,140,DC12
4169078,201,DC12
4169079,155,DC12
4169080,177,DC12
4169082,157,DC12
4169083,144,DC12
4169084,137,DC12
4169085,151,DC12
4169086,117,DC12
4169087,155,DC12
4169088,197,DC12
4169089,206,DC12
4169093,194,DC12
4169111,222,DC12
4169113,173,DC12
4169114,172,DC12
4169115,126,DC12
4169117,161,DC12
4169121,162,DC12
4169123,141,DC12
4169124,184,DC12
4169126,172,DC12
4169129,104,DC12
4169330,163,DC12
4169445,196,DC12
4169446,163,DC12
4169447,141,DC12
4169448,165,DC12
4169449,124,DC12
4169450,183,DC12
4169451,171,DC12
4169452,140,DC12
4169453,142,DC12
4169454,88,DC12
4169455,157,DC12
4169456,182,DC12
4169457,175,DC12
4169458,156,DC12
4169620,124,DC12
4169633,120,DC12
4169667,119,DC12
4170105,267,DC12
4170106,97,DC12
4170107,172,DC12
4170108,146,DC12
4170109,138,DC12
4170110,146,DC12
4170111,186,DC12
4170112,167,DC12
4170113,182,DC12
4170114,165,DC12
4170115,154,DC12
4170116,183,DC12
4170117,180,DC12
4170118,149,DC12
4170119,207,DC12
4170120,171,DC12
4170121,134,DC12
4170122,184,DC12
4170123,199,DC12
4170124,163,DC12
4170125,149,DC12
4170126,97,DC12
4170127,140,DC12
4170128,174,DC12
4170129,206,DC12
4170130,226,DC12
4170131,151,DC12
4170133,256,DC12
4170134,190,DC12
4170135,177,DC12
4170136,154,DC12
4170137,150,DC12
4170138,173,DC12
4170139,152,DC12
4170141,176,DC12
4170142,152,DC12
4170143,175,DC12
4170144,149,DC12
4170145,266,DC12
4170147,168,DC12
4170148,195,DC12
4170149,155,DC12
4170150,184,DC12
4170151,243,DC12
4170516,148,DC12
4170517,165,DC12
4170518,126,DC12
4170520,175,DC12
4170521,158,DC12
4170522,212,DC12
