STOREID,average daily demand,Distribution center
4169300,194,DC6
4169301,244,DC6
4169303,211,DC6
4169305,207,DC6
4169307,104,DC6
4169308,208,DC6
4169310,203,DC6
4169311,162,DC6
4169312,162,DC6
4169314,167,DC6
4169319,175,DC6
4169324,186,DC6
4169332,167,DC6
4169333,166,DC6
4169334,178,DC6
4169341,134,DC6
4169342,133,DC6
4169344,175,DC6
4169345,161,DC6
4169348,149,DC6
4169350,198,DC6
4169356,153,DC6
4169359,135,DC6
4169360,119,DC6
4169372,145,DC6
4169376,164,DC6
4169377,242,DC6
4169378,261,DC6
4169382,132,DC6
4169383,95,DC6
4169384,95,DC6
4169385,158,DC6
4169386,159,DC6
4169387,177,DC6
4169388,207,DC6
4169389,237,DC6
4169390,165,DC6
4169391,243,DC6
4169392,313,DC6
4169393,184,DC6
4169394,273,DC6
4169395,188,DC6
4169396,223,DC6
4169404,142,DC6
4169406,211,DC6
4169407,204,DC6
4169413,143,DC6
4169414,211,DC6
4169415,153,DC6
4169419,171,DC6
4169422,223,DC6
4169426,173,DC6
4169428,249,DC6
4169431,202,DC6
4170421,179,DC6
4170422,131,DC6
4170423,150,DC6
4170424,109,DC6
4170425,110,DC6
4170426,156,DC6
4170427,122,DC6
4170428,161,DC6
4170429,123,DC6
4170430,164,DC6
4170431,176,DC6
4170432,229,DC6
4170433,187,DC6
4170434,169,DC6
4170435,136,DC6
4170436,232,DC6
4170437,156,DC6
4170439,170,DC6
4170440,170,DC6
4170441,144,DC6
4170442,130,DC6
4170443,104,DC6
4170444,187,DC6
4170445,137,DC6
4170447,190,DC6
4170448,151,DC6
4170449,125,DC6
4170450,171,DC6
4170451,136,DC6
4170455,175,DC6
4170456,182,DC6
4170457,135,DC6
4170460,135,DC6
4170461,240,DC6
4170462,232,DC6
4170463,130,DC6
4170464,126,DC6
4170465,136,DC6
4170466,204,DC6
4170467,190,DC6
4170468,143,DC6
4170469,162,DC6
4170470,189,DC6
4170471,94,DC6
4170472,113,DC6
4170473,138,DC6
4170474,137,DC6
4170475,170,DC6
4170476,197,DC6
4170477,178,DC6
4170478,258,DC6
4170479,116,DC6
4170480,176,DC6
4170481,147,DC6
4170482,117,DC6
4170483,117,DC6
4170484,154,DC6
4170485,95,DC6
4170486,184,DC6
4170487,143,DC6
4170488,153,DC6
4170490,151,DC6
4170491,161,DC6
4170492,214,DC6
4170493,142,DC6
4170494,194,DC6
4170495,219,DC6
4170496,225,DC6
4170497,247,DC6
4170498,179,DC6
4170499,135,DC6
4170500,133,DC6
4170501,124,DC6
4170502,124,DC6
4170503,200,DC6
4170504,146,DC6
4170505,156,DC6
4170506,193,DC6
4170507,134,DC6
4170508,124,DC6
4170509,209,DC6
4170510,174,DC6
4170511,172,DC6
4170512,203,DC6
4170513,296,DC6
4170514,171,DC6
4170515,118,DC6
4170536,133,DC6
4170542,135,DC6
4170544,153,DC6
4170550,167,DC6
4170552,108,DC6
4170556,175,DC6
4170578,166,DC6
4170579,166,DC6
4170582,93,DC6
4170583,144,DC6
4170593,153,DC6
4170594,133,DC6
4170595,166,DC6
4170596,223,DC6
4170597,133,DC6
4170599,123,DC6
4170600,170,DC6
4170601,161,DC6
4170602,136,DC6
4170606,198,DC6
4170613,213,DC6
4170620,103,DC6
4170625,111,DC6
4170635,185,DC6
4170640,134,DC6
4170641,235,DC6
4170649,167,DC6
4170654,186,DC6
4170655,188,DC6
4170656,94,DC6
4170663,125,DC6
4170667,100,DC6
4171144,175,DC6
4171376,196,DC6
4171589,190,DC6
4171590,175,DC6
4171591,219,DC6
4171631,178,DC6
4171634,261,DC6
4166674,123,DC7
4166681,153,DC7
4166683,160,DC7
4166691,140,DC7
4166693,154,DC7
4166701,107,DC7
4166702,154,DC7
4166703,153,DC7
4166705,132,DC7
4166707,119,DC7
4166709,155,DC7
4166710,149,DC7
4166711,169,DC7
4166712,138,DC7
4166718,138,DC7
4166724,192,DC7
4166726,124,DC7
4166733,141,DC7
4166734,142,DC7
4166736,149,DC7
4166741,92,DC7
4166745,117,DC7
4166748,167,DC7
4166749,140,DC7
4166756,169,DC7
4166763,201,DC7
4166773,172,DC7
4166774,172,DC7
4166790,161,DC7
4167860,206,DC7
4167883,124,DC7
4168101,180,DC7
4168142,126,DC7
4168145,161,DC7
4168146,149,DC7
4168147,132,DC7
4168148,140,DC7
4168151,205,DC7
4168153,193,DC7
4168154,102,DC7
4168156,123,DC7
4168162,132,DC7
4168163,194,DC7
4168164,142,DC7
4168165,114,DC7
4168166,226,DC7
4168171,140,DC7
4168173,185,DC7
4168176,262,DC7
4168180,163,DC7
4168181,142,DC7
4168183,124,DC7
4168184,168,DC7
4168185,172,DC7
4168191,114,DC7
4168193,153,DC7
4168197,146,DC7
4168200,153,DC7
4168201,128,DC7
4168202,173,DC7
4168206,138,DC7
4168207,128,DC7
4168209,127,DC7
4168211,121,DC7
4168213,156,DC7
4168215,138,DC7
4168219,199,DC7
4168221,142,DC7
4168224,148,DC7
4168225,196,DC7
4168228,117,DC7
4168230,159,DC7
4168233,200,DC7
4168234,140,DC7
4168235,203,DC7
4168237,194,DC7
4168241,223,DC7
4168248,245,DC7
4168251,260,DC7
4168255,246,DC7
4168256,171,DC7
4168258,223,DC7
4168261,120,DC7
4168262,216,DC7
4168263,135,DC7
4168264,134,DC7
4168265,159,DC7
4168266,110,DC7
4168268,117,DC7
4168269,138,DC7
4168273,168,DC7
4168274,204,DC7
4168275,123,DC7
4168276,291,DC7
4168277,123,DC7
4168278,175,DC7
4168279,182,DC7
4168290,161,DC7
4168291,168,DC7
4168292,201,DC7
4168293,201,DC7
4168295,173,DC7
4168297,197,DC7
4168298,129,DC7
4168299,113,DC7
4168300,174,DC7
4168301,177,DC7
4168302,137,DC7
4168303,133,DC7
4168304,236,DC7
4168305,183,DC7
4168306,162,DC7
4168307,195,DC7
4168308,194,DC7
4168310,237,DC7
4168311,170,DC7
4168312,130,DC7
4168313,185,DC7
4168317,151,DC7
4168318,156,DC7
4168319,177,DC7
4168320,156,DC7
4168322,209,DC7
4168323,143,DC7
4168324,143,DC7
4168325,229,DC7
4168326,152,DC7
4168327,185,DC7
4168328,210,DC7
4168329,105,DC7
4168330,167,DC7
4168331,165,DC7
4168332,179,DC7
4168333,195,DC7
4168334,169,DC7
4168335,195,DC7
4168336,225,DC7
4168337,269,DC7
4168338,172,DC7
4168339,175,DC7
4168340,148,DC7
4168341,207,DC7
4168342,167,DC7
4168344,134,DC7
4168345,134,DC7
4168348,162,DC7
4168349,145,DC7
4168350,145,DC7
4168351,186,DC7
4168352,171,DC7
4168353,173,DC7
4168354,88,DC7
4168355,88,DC7
4168356,88,DC7
4168357,113,DC7
4168358,278,DC7
4168359,139,DC7
4168360,217,DC7
4168361,149,DC7
4168362,162,DC7
4168363,132,DC7
4168364,219,DC7
4168365,190,DC7
4168366,186,DC7
4168368,186,DC7
4168369,145,DC7
4168370,148,DC7
4168402,145,DC7
4168405,143,DC7
4168406,175,DC7
4168407,137,DC7
4168408,132,DC7
4168409,268,DC7
4168411,161,DC7
4168413,117,DC7
4168414,117,DC7
4168415,116,DC7
4168416,180,DC7
4168417,220,DC7
4168418,209,DC7
4168420,184,DC7
4168423,150,DC7
4168425,159,DC7
4168426,175,DC7
4168428,148,DC7
4168429,140,DC7
4168430,231,DC7
4168431,151,DC7
4168432,151,DC7
4168433,129,DC7
4168435,155,DC7
4168436,137,DC7
4168438,157,DC7
4168447,222,DC7
4168449,207,DC7
4168450,183,DC7
4168452,101,DC7
4168453,245,DC7
4168456,237,DC7
4168458,163,DC7
4168462,180,DC7
4168463,116,DC7
4168464,164,DC7
4168466,123,DC7
4168467,267,DC7
4168468,181,DC7
4168469,162,DC7
4168470,148,DC7
4168472,124,DC7
4168473,124,DC7
4168474,207,DC7
4168475,175,DC7
4168681,151,DC7
4168855,135,DC7
4169012,195,DC7
4169014,137,DC7
4169016,135,DC7
4169017,141,DC7
4169018,159,DC7
4169019,131,DC7
4169022,147,DC7
4169023,203,DC7
4169024,140,DC7
4169025,180,DC7
4169026,163,DC7
4169027,163,DC7
4169028,190,DC7
4169029,122,DC7
4169030,243,DC7
4169031,263,DC7
4169032,160,DC7
4169033,175,DC7
4169034,129,DC7
4169035,140,DC7
4169036,244,DC7
4169037,254,DC7
4169038,111,DC7
4169043,124,DC7
4169045,123,DC7
4169047,122,DC7
4169048,214,DC7
4169049,311,DC7
4169050,151,DC7
4169051,135,DC7
4169052,123,DC7
4169053,234,DC7
4169054,192,DC7
4169056,115,DC7
4169057,195,DC7
4169058,109,DC7
4169059,139,DC7
4169060,136,DC7
4169062,108,DC7
4169064,131,DC7
4169065,159,DC7
4169066,158,DC7
4169067,172,DC7
4169070,117,DC7
4169071,100,DC7
4169073,135,DC7
4169075,158,DC7
4169077,118,DC7
4169090,137,DC7
4169091,136,DC7
4169094,169,DC7
4169096,138,DC7
4169097,156,DC7
4169098,158,DC7
4169099,122,DC7
4169100,155,DC7
4169101,155,DC7
4169102,170,DC7
4169103,157,DC7
4169104,156,DC7
4169105,171,DC7
4169106,129,DC7
4169107,143,DC7
4169108,153,DC7
4169109,113,DC7
4169110,153,DC7
4169112,234,DC7
4169116,217,DC7
4169118,147,DC7
4169119,146,DC7
4169120,121,DC7
4169122,139,DC7
4169125,130,DC7
4169127,143,DC7
4169128,198,DC7
4169130,139,DC7
4169131,91,DC7
4169137,144,DC7
4169138,143,DC7
4169143,148,DC7
4169150,231,DC7
4169153,139,DC7
4169165,167,DC7
4169166,139,DC7
4169183,179,DC7
4169193,147,DC7
4169196,126,DC7
4169233,231,DC7
4169296,207,DC7
4169309,212,DC7
4169335,189,DC7
4169374,140,DC7
4169402,136,DC7
4169749,133,DC7
4169925,126,DC7
4169982,168,DC7
4169983,157,DC7
4170077,148,DC7
4170146,156,DC7
4170531,131,DC7
4170532,130,DC7
4170533,141,DC7
4170534,164,DC7
4170535,113,DC7
4170537,177,DC7
4170538,168,DC7
4170539,115,DC7
4170540,162,DC7
4170541,241,DC7
4170543,188,DC7
4170545,115,DC7
4170547,141,DC7
4170548,164,DC7
4170549,144,DC7
4170551,157,DC7
4170553,90,DC7
4170554,117,DC7
4170555,117,DC7
4170557,196,DC7
4170558,208,DC7
4170559,155,DC7
4170560,158,DC7
4170561,203,DC7
4170562,134,DC7
4170563,209,DC7
4170564,204,DC7
4170565,209,DC7
4170566,243,DC7
4170567,257,DC7
4170568,232,DC7
4170569,139,DC7
4170570,139,DC7
4170571,175,DC7
4170572,125,DC7
4170573,130,DC7
4170574,222,DC7
4170575,189,DC7
4170576,118,DC7
4170577,118,DC7
4170580,142,DC7
4170584,142,DC7
4170585,153,DC7
4170587,216,DC7
4170588,157,DC7
4170589,106,DC7
4170590,184,DC7
4170591,146,DC7
4170592,137,DC7
4170598,133,DC7
4170604,170,DC7
4170605,111,DC7
4170607,149,DC7
4170608,128,DC7
4170609,203,DC7
4170610,243,DC7
4170611,113,DC7
4170612,137,DC7
4170614,200,DC7
4170615,271,DC7
4170616,128,DC7
4170617,144,DC7
4170618,183,DC7
4170619,162,DC7
4170621,223,DC7
4170622,237,DC7
4170623,161,DC7
4170624,156,DC7
4170626,193,DC7
4170627,172,DC7
4170628,181,DC7
4170629,171,DC7
4170630,146,DC7
4170632,204,DC7
4170633,258,DC7
4170634,237,DC7
4170636,229,DC7
4170637,192,DC7
4170638,191,DC7
4170642,108,DC7
4170643,120,DC7
4170644,133,DC7
4170645,211,DC7
4170646,117,DC7
4170647,132,DC7
4170648,117,DC7
4170650,141,DC7
4170651,207,DC7
4170652,338,DC7
4170653,143,DC7
4170659,93,DC7
4170661,220,DC7
4170664,128,DC7
4170665,93,DC7
4170666,198,DC7
4170668,111,DC7
4171128,88,DC7
4171129,88,DC7
4171167,159,DC7
4171307,176,DC7
4171347,119,DC7
4171373,213,DC7
4171643,138,DC7
4166669,164,DC8
4167079,197,DC8
4167086,138,DC8
4168072,125,DC8
4168073,183,DC8
4168082,181,DC8
4168083,201,DC8
4168086,157,DC8
4168088,156,DC8
4168089,155,DC8
4168097,134,DC8
4168098,214,DC8
4168099,207,DC8
4168102,195,DC8
4168135,136,DC8
4168136,156,DC8
4168137,133,DC8
4168138,170,DC8
4168139,140,DC8
4168140,208,DC8
4168141,180,DC8
4168143,202,DC8
4168144,314,DC8
4168150,184,DC8
4168152,157,DC8
4168155,149,DC8
4168157,274,DC8
4168158,166,DC8
4168159,177,DC8
4168160,213,DC8
4168161,131,DC8
4168167,204,DC8
4168168,143,DC8
4168169,212,DC8
4168170,170,DC8
4168172,268,DC8
4168174,211,DC8
4168175,135,DC8
4168177,212,DC8
4168178,183,DC8
4168179,204,DC8
4168182,164,DC8
4168187,104,DC8
4168188,103,DC8
4168189,161,DC8
4168190,251,DC8
4168192,174,DC8
4168194,178,DC8
4168195,180,DC8
4168196,217,DC8
4168198,145,DC8
4168199,158,DC8
4168203,150,DC8
4168204,194,DC8
4168205,105,DC8
4168208,175,DC8
4168210,207,DC8
4168212,200,DC8
4168216,208,DC8
4168217,205,DC8
4168218,112,DC8
4168220,120,DC8
4168222,231,DC8
4168223,248,DC8
4168226,163,DC8
4168227,138,DC8
4168229,173,DC8
4168231,277,DC8
4168232,241,DC8
4168236,241,DC8
4168238,116,DC8
4168240,172,DC8
4168242,293,DC8
4168243,214,DC8
4168244,196,DC8
4168245,252,DC8
4168246,314,DC8
4168247,220,DC8
4168249,292,DC8
4168250,378,DC8
4168252,377,DC8
4168253,264,DC8
4168254,378,DC8
4168257,377,DC8
4168259,206,DC8
4168260,231,DC8
4168267,171,DC8
4168270,219,DC8
4168271,178,DC8
4168272,254,DC8
4168280,135,DC8
4168281,176,DC8
4168282,206,DC8
4168283,255,DC8
4168284,246,DC8
4168285,179,DC8
4168286,163,DC8
4168287,186,DC8
4168288,139,DC8
4168289,89,DC8
4168294,154,DC8
4168296,150,DC8
4168309,137,DC8
4168314,225,DC8
4168315,209,DC8
4168343,159,DC8
4168371,150,DC8
4168372,136,DC8
4168459,149,DC8
4168680,114,DC8
4168782,103,DC8
4168804,171,DC8
4168810,126,DC8
4168816,120,DC8
4168817,162,DC8
4168818,127,DC8
4168825,182,DC8
4168827,192,DC8
4168829,176,DC8
4168830,159,DC8
4168832,150,DC8
4168837,202,DC8
4168838,217,DC8
4168839,181,DC8
4168840,255,DC8
4168841,190,DC8
4168842,198,DC8
4168845,171,DC8
4168846,115,DC8
4168847,96,DC8
4168848,136,DC8
4168849,165,DC8
4168851,119,DC8
4168852,151,DC8
4168853,230,DC8
4168854,227,DC8
4168857,213,DC8
4168858,187,DC8
4168864,184,DC8
4168868,142,DC8
4168882,216,DC8
4168883,172,DC8
4168889,104,DC8
4168890,176,DC8
4168892,135,DC8
4168893,222,DC8
4168894,205,DC8
4168896,88,DC8
4168897,206,DC8
4168898,127,DC8
4168899,124,DC8
4168902,193,DC8
4168903,132,DC8
4168904,163,DC8
4168905,209,DC8
4168906,170,DC8
4168907,136,DC8
4168908,212,DC8
4168909,137,DC8
4168910,148,DC8
4168911,157,DC8
4168912,181,DC8
4168913,157,DC8
4168914,186,DC8
4168915,214,DC8
4168916,174,DC8
4168917,110,DC8
4168918,128,DC8
4168919,104,DC8
4168920,250,DC8
4168921,170,DC8
4168922,145,DC8
4168923,160,DC8
4168924,179,DC8
4168925,138,DC8
4168926,144,DC8
4168927,154,DC8
4168928,177,DC8
4168930,167,DC8
4168931,129,DC8
4168932,140,DC8
4168933,124,DC8
4168934,94,DC8
4168936,133,DC8
4168937,133,DC8
4168939,143,DC8
4168940,149,DC8
4168941,140,DC8
4168942,138,DC8
4168943,139,DC8
4168944,139,DC8
4168945,208,DC8
4168946,156,DC8
4168947,189,DC8
4168948,182,DC8
4168949,170,DC8
4168950,121,DC8
4168952,114,DC8
4168954,191,DC8
4168955,162,DC8
4168956,164,DC8
4168957,103,DC8
4168959,110,DC8
4168960,233,DC8
4168962,154,DC8
4168963,145,DC8
4168964,152,DC8
4168967,180,DC8
4168968,230,DC8
4168969,151,DC8
4168970,183,DC8
4168971,159,DC8
4168974,181,DC8
4168975,200,DC8
4168976,131,DC8
4168978,112,DC8
4168979,182,DC8
4168980,142,DC8
4168981,118,DC8
4168982,129,DC8
4168983,129,DC8
4168987,193,DC8
4168988,173,DC8
4168989,167,DC8
4168990,147,DC8
4168991,133,DC8
4168992,228,DC8
4168993,160,DC8
4168994,121,DC8
4168995,120,DC8
4168997,121,DC8
4168998,139,DC8
4168999,178,DC8
4169000,158,DC8
4169002,115,DC8
4169004,132,DC8
4169005,242,DC8
4169006,160,DC8
4169008,155,DC8
4169009,181,DC8
4169010,120,DC8
4169712,208,DC8
4169748,197,DC8
4169817,101,DC8
4169868,162,DC8
4171056,274,DC8
4171123,170,DC8
4171168,156,DC8
4171384,150,DC8
4171391,198,DC8
4171503,172,DC8
4171504,119,DC8
4171505,171,DC8
4171506,162,DC8
4171507,184,DC8
4171508,133,DC8
4171509,199,DC8
4171510,147,DC8
4171511,185,DC8
4171512,201,DC8
4171513,184,DC8
4171514,222,DC8
4171515,140,DC8
4171516,146,DC8
4171517,96,DC8
4171518,160,DC8
4171519,122,DC8
4171520,151,DC8
4171521,191,DC8
4171522,169,DC8
4171523,137,DC8
4171524,212,DC8
4171525,151,DC8
4171527,192,DC8
4171528,196,DC8
4171529,140,DC8
4171530,132,DC8
4171531,219,DC8
4171532,165,DC8
4171533,147,DC8
4171534,101,DC8
4171535,221,DC8
4171536,233,DC8
4171537,206,DC8
4171538,188,DC8
4171539,179,DC8
4171540,146,DC8
4171541,130,DC8
4171542,130,DC8
4171543,170,DC8
4171544,134,DC8
4171545,213,DC8
4171546,188,DC8
4171547,145,DC8
4171548,179,DC8
4171549,138,DC8
4171550,249,DC8
4171551,106,DC8
4171552,183,DC8
4171553,188,DC8
4171554,161,DC8
4171555,181,DC8
4171557,151,DC8
4171558,157,DC8
4171559,183,DC8
4171560,172,DC8
4171561,200,DC8
4171562,139,DC8
4171563,146,DC8
4171564,142,DC8
4171565,145,DC8
4171566,218,DC8
4171567,212,DC8
4171568,224,DC8
4171569,136,DC8
4171570,215,DC8
4171571,186,DC8
4171572,179,DC8
4171573,155,DC8
4171574,115,DC8
4171575,123,DC8
4171577,149,DC8
4171578,172,DC8
4171579,153,DC8
4171580,152,DC8
4171581,97,DC8
4171582,97,DC8
4171583,115,DC8
4171584,138,DC8
4171585,96,DC8
4171586,141,DC8
4171588,104,DC8
4167548,137,DC9
4167549,221,DC9
4167550,177,DC9
4167551,232,DC9
4167552,146,DC9
4167553,160,DC9
4167554,293,DC9
4167555,169,DC9
4167556,182,DC9
4167557,256,DC9
4167558,173,DC9
4167559,144,DC9
4167560,158,DC9
4167561,136,DC9
4167562,142,DC9
4167563,192,DC9
4167564,191,DC9
4167565,196,DC9
4167566,152,DC9
4167567,219,DC9
4167568,103,DC9
4167569,146,DC9
4167570,170,DC9
4167571,125,DC9
4167572,201,DC9
4167573,140,DC9
4167574,182,DC9
4167575,230,DC9
4167576,194,DC9
4167577,240,DC9
4167578,158,DC9
4167579,157,DC9
4167580,170,DC9
4167581,261,DC9
4167582,186,DC9
4167583,244,DC9
4167585,156,DC9
4167586,182,DC9
4167587,218,DC9
4167588,214,DC9
4167589,135,DC9
4167590,155,DC9
4167591,165,DC9
4167592,137,DC9
4167593,148,DC9
4167594,170,DC9
4167595,203,DC9
4167596,151,DC9
4167597,153,DC9
4167598,168,DC9
4167599,166,DC9
4167600,186,DC9
4167601,139,DC9
4167602,142,DC9
4167603,171,DC9
4167604,244,DC9
4167605,163,DC9
4167606,201,DC9
4167607,100,DC9
4167609,173,DC9
4167610,294,DC9
4167611,203,DC9
4167612,161,DC9
4167614,152,DC9
4167615,208,DC9
4167616,131,DC9
4167617,150,DC9
4167618,138,DC9
4167619,177,DC9
4167621,257,DC9
4167622,171,DC9
4167623,180,DC9
4167624,188,DC9
4167625,124,DC9
4167626,200,DC9
4167627,208,DC9
4167628,175,DC9
4167629,123,DC9
4167630,112,DC9
4167637,180,DC9
4167638,232,DC9
4167639,141,DC9
4167646,213,DC9
4167647,219,DC9
4167648,168,DC9
4167649,206,DC9
4167650,218,DC9
4167651,174,DC9
4167652,191,DC9
4167653,157,DC9
4167654,220,DC9
4167655,172,DC9
4167656,269,DC9
4167657,190,DC9
4167658,144,DC9
4167659,155,DC9
4167660,167,DC9
4167661,190,DC9
4167662,232,DC9
4167663,175,DC9
4167664,175,DC9
4167665,146,DC9
4167666,146,DC9
4167667,126,DC9
4167668,127,DC9
4167669,112,DC9
4167670,162,DC9
4167671,258,DC9
4167672,107,DC9
4167673,272,DC9
4167674,140,DC9
4167675,252,DC9
4167676,172,DC9
4167677,188,DC9
4167678,211,DC9
4167679,154,DC9
4167680,154,DC9
4167681,160,DC9
4167682,156,DC9
4167683,206,DC9
4167684,143,DC9
4167685,143,DC9
4167686,126,DC9
4167687,162,DC9
4167688,141,DC9
4167689,226,DC9
4167690,178,DC9
4167692,163,DC9
4167693,185,DC9
4167694,207,DC9
4167696,125,DC9
4167698,144,DC9
4167699,168,DC9
4167700,259,DC9
4167701,251,DC9
4167702,161,DC9
4167703,279,DC9
4167704,247,DC9
4167705,220,DC9
4167706,206,DC9
4167707,266,DC9
4167708,175,DC9
4167709,148,DC9
4167710,152,DC9
4167711,231,DC9
4167712,187,DC9
4167713,291,DC9
4167714,273,DC9
4167715,175,DC9
4167716,215,DC9
4167717,307,DC9
4167718,230,DC9
4167719,261,DC9
4167720,196,DC9
4167721,175,DC9
4167722,197,DC9
4167723,160,DC9
4167724,165,DC9
4167725,172,DC9
4167726,211,DC9
4167727,188,DC9
4167729,151,DC9
4167730,128,DC9
4167732,106,DC9
4167733,139,DC9
4167734,173,DC9
4167735,159,DC9
4167736,148,DC9
4167737,206,DC9
4167738,230,DC9
4167739,141,DC9
4167740,143,DC9
4167741,187,DC9
4167742,195,DC9
4167743,179,DC9
4167744,154,DC9
4167745,256,DC9
4167746,241,DC9
4167747,121,DC9
4167748,156,DC9
4167749,216,DC9
4167750,138,DC9
4167751,220,DC9
4167752,196,DC9
4167753,143,DC9
4167754,131,DC9
4167755,182,DC9
4167756,131,DC9
4167757,124,DC9
4167758,126,DC9
4167759,243,DC9
4167760,170,DC9
4167761,178,DC9
4167762,194,DC9
4167763,135,DC9
4167764,135,DC9
4167765,184,DC9
4167766,200,DC9
4167767,256,DC9
4167768,130,DC9
4167769,130,DC9
4167770,163,DC9
4167771,214,DC9
4167772,253,DC9
4167773,177,DC9
4167774,176,DC9
4167775,243,DC9
4167776,212,DC9
4167777,203,DC9
4167778,120,DC9
4167779,122,DC9
4167780,127,DC9
4167781,194,DC9
4167783,234,DC9
4167784,242,DC9
4167785,329,DC9
4167786,201,DC9
4167787,238,DC9
4167788,132,DC9
4167789,216,DC9
4167790,193,DC9
4167792,130,DC9
4167793,119,DC9
4167794,157,DC9
4167795,187,DC9
4167796,164,DC9
4167797,164,DC9
4167798,123,DC9
4167799,119,DC9
4167800,141,DC9
4167803,150,DC9
4167804,136,DC9
4167805,137,DC9
4167806,176,DC9
4167807,160,DC9
4167808,196,DC9
4167809,158,DC9
4167810,120,DC9
4167811,180,DC9
4167812,265,DC9
4167813,178,DC9
4167814,193,DC9
4167815,146,DC9
4167816,185,DC9
4167818,112,DC9
4167819,142,DC9
4167820,205,DC9
4167821,229,DC9
4167822,182,DC9
4167824,189,DC9
4167825,174,DC9
4167826,177,DC9
4167827,193,DC9
4167828,225,DC9
4167829,145,DC9
4167830,113,DC9
4167832,111,DC9
4167833,169,DC9
4167834,205,DC9
4167835,149,DC9
4167836,138,DC9
4167837,130,DC9
4167838,134,DC9
4167839,177,DC9
4167840,149,DC9
4167841,250,DC9
4167842,186,DC9
4167843,116,DC9
4167844,144,DC9
4167846,199,DC9
4167847,159,DC9
4167848,201,DC9
4167849,177,DC9
4167851,130,DC9
4167852,157,DC9
4167853,169,DC9
4167854,171,DC9
4167855,181,DC9
4167856,181,DC9
4167857,188,DC9
4167858,96,DC9
4167859,220,DC9
4167861,220,DC9
4167862,132,DC9
4167863,147,DC9
4167864,139,DC9
4167865,173,DC9
4167866,167,DC9
4167867,177,DC9
4167868,163,DC9
4167869,187,DC9
4167870,234,DC9
4167871,202,DC9
4167872,133,DC9
4167873,152,DC9
4167874,166,DC9
4167875,140,DC9
4167877,282,DC9
4167878,170,DC9
4167879,182,DC9
4167880,238,DC9
4167881,103,DC9
4167882,294,DC9
4167886,164,DC9
4167887,186,DC9
4167888,169,DC9
4167890,98,DC9
4167891,136,DC9
4167895,200,DC9
4167896,150,DC9
4167902,162,DC9
4167922,132,DC9
4167923,151,DC9
4167958,117,DC9
4167962,150,DC9
4167963,92,DC9
4167966,175,DC9
4168012,129,DC9
4168013,175,DC9
4168017,132,DC9
4171210,317,DC9
